FaultId,Label,TAIL,Flight,Seq#,version,FltHrs,FltDate,Count,m_28V_Bus___RCM__V_,d_Airspeed_hold_on,m_Alt_MSL__ft_,m_Alternator_Temp__DEG_,d_Altitude_hold_on,m_Altntr_1_Temp__DEG_,m_Altntr_2_Temp__DEG_,m_AP1_Norm_Acc__g_,m_AP2_Norm_Acc__g_,m_AP3_Norm_Acc__g_,d_Azimuth_hold_on,m_Bat_1_Temp__DEG_,m_Bat_2_Temp__DEG_,m_Bat_2_Volt__V_,d_Battery_leaking_current.,m_Bus_1_Bat_Gnd_Amp__A_,m_Bus_1_Current__A_,m_Bus_1_Volt__V_,m_Bus_2_Bat_Gnd_Amp__A_,m_Bus_2_Current__A_,m_Bus_2_Volt__V_,m_Comp_EGT__DEG_,m_Compass_Hdg__DEG_,m_DEEC_EGT__DEG_,m_DEEC_Torque,m_Detent_Cmd,m_DL_Delay__Sec_,m_Dn_Sawtooth,m_EFIU_Amp__A_,m_EFIU_EGT__DEG_,m_EFIU_Torque,m_Eng_Speed_Cmd,m_Eng_Torque,m_F_Flow_Rate__lb_hr_,m_F_Flow_Rate_raw___lb_hr_,m_FCA1_Norm_Acc__g_,m_FCA2_Norm_Acc__g_,m_FCA3_Norm_Acc__g_,m_Fuel_Flow_Rate__lb_hr_,m_Fuel_Flow_Rate_raw___lb_hr_,d_GCU_inhibit,d_GCU_reset,m_GCU_Temp__DEG_,m_GDT_PWM,m_Gen_Air_Temp__DEG_,m_Gen_Oil_Temp__DEG_,m_Generator_Amp__A_,m_GPS_Alt__ft_,d_In_flight_reset_detected_by_UAV,m_INS_Norm_Acc__g_,m_MLV_Norm_Acc__g_,m_Norm_Accel__g_,m_OAT__DEG_,m_Oil_Tank_Temp__DEG_,m_Pitch_Rate__DEG_,m_PMA_Temp__DEG_,m_Power_Cmd,m_Power_Gauge,m_Power_Lvr_Cmd,m_PPDM1_SW7_Amp__A_,m_PPDM1_SW8_Amp__A_,d_Preprogrammed_mode_on,m_Pri_AS__KIAS_,m_Prop_Speed__RPM_,m_PWM,m_Range__NM_,m_Roll_Angle__DEG_,m_Roll_Rate__DEG_,m_Speed_28V__V_,m_Speed_Amp__A_,m_Speed_BTmp__DEG_,m_Speed_CTmp__DEG_,m_SRL_EGT__DEG_,m_System_Amp__A_,d_Tq_Loop_Health,m_Up_KU_CTR_Pkts__Hz_,m_Up_Sawtooth,m_Wind_Dir__DEG_,m_Wind_Spd__kt_,m_Yaw_Rate__DEG_,m_Yaw_Stick_Pi__DEG_
1,0,4071,255,657,904.7.7,6.62,4/17/2015 21:29,23814,28.49644226,0.449273537,5012.875955,0,0.448895608,0,0,0,0,0,0.075165869,-100,20,28.19936458,0,0.874695557,55.66281308,28.95853187,0.743974133,0.693644109,28.41546368,-0.261744084,182.1275496,424.0868413,21.10722478,6.206614165,0,127.8395062,8.011472243,359.6327664,36.6207273,90.09384522,20.77384401,191.8755774,15.34903838,1.00792995,1.007927706,1.007969993,0,0,0.011379861,0,16.55979676,18,40.18384144,0,55.35647098,5108.887209,0.986940455,1.008708873,20.63576048,0.988148148,11.79478458,55.39086252,-0.00027777,0,19.76363537,19.76363537,25.39764462,7.118896447,6.830998572,0,86.76980988,1375.428571,0,25,1.728243615,0.005802921,0,-55,22,-55,424.1653421,0,0,0,128.052952,244.4766125,7.583606282,0.217809891,0.027913013
1,0,4071,1,659,904.7.7,6.24,4/18/2015 13:39,22479,28.45266667,0.162017883,5234.492638,0,0.083322212,0,0,0,0,0,0.151919569,-100,20,28.28262169,0,1.886026958,55.07437922,28.91349215,1.186885538,1.12191884,28.40887615,-0.040294298,177.4601731,416.737069,21.88644692,8.084523499,0,127.0806975,7.64576716,361.1155468,43.74683038,91.12379096,21.57612071,194.5684861,15.56458917,1.009572613,1.01133543,1.009473011,0,0,0.054673251,0,21.4288447,18,48.86387295,0,53.68997731,5325.041772,0.939899462,1.010223781,24.8602251,0.988882068,17.18688554,61.9385204,3.15E-05,0,21.29742894,21.29742894,21.70668809,7.354606522,7.048249477,0,78.16074707,1346.65083,0,25,3.803781779,0.003478094,0,-55,22,-55,416.718434,0,0,0,127.9830064,232.6897957,5.983851595,0.582853459,0.400295959
1,0,4071,2,661,904.7.7,7.5,4/20/2015 12:21,26984,28.50048933,0.482915802,7234.16721,0,0.461384524,0,0,0,0,0,0.458012155,-100,20,28.05904947,0,0.88055885,56.2696938,28.96776193,0.571338571,0.542040802,28.39985669,-0.410834796,174.6852827,437.2380446,22.09227264,6.296547078,0,127.9239179,8.086265935,369.4995961,36.33553217,90.34487463,21.77428663,185.2847058,14.82144234,1.007745503,1.010265598,1.007775428,0,0,0.011414171,0,15.90746368,18,40.23991995,0,55.98172991,7419.93737,0.991031723,1.009240634,20.62025645,0.989536021,10.26200712,57.26845538,0.000210094,0,20.95977121,20.95977121,26.07621406,6.989067596,6.680403202,0.344018678,88.5490045,1389.150237,0,25,4.005262349,0.01384889,0,-55,22,-55,437.3197517,0,0,0,126.0467685,197.0903411,11.02197599,0.589726205,0.298182506
1,0,4071,10,664,904.7.9,9.86,6/2/2015 14:09,35511,28.50378333,0.514516629,6440.856298,0,0.495621075,0,0,0,0,0,0.482019656,-100,20,27.77574771,0,1.03224353,58.09912084,28.96849534,0.399988736,0.389727907,28.42135834,-0.096715488,190.5051925,448.9716588,21.42446677,6.227089467,0,127.0292867,8.122159331,385.636463,41.82788432,90.78689789,21.1102748,189.3081017,15.14464814,1.0093635,1.009526141,1.009388311,0,0,0.012784771,0,20.22556391,18,48.35366506,0,57.53242657,6638.216778,0.984540002,1.009696013,24.71532764,0.989420743,16.2812368,62.7637915,0.003645309,0,20.36112983,20.36112983,27.32946102,7.866486441,7.566596266,0.004618287,85.47096331,1406.510715,0,25,3.460453604,0.005328245,0,-55,22,-55,448.9312067,0,0,0,126.7991608,253.283998,15.38010757,0.509624922,0.161768241
1,0,4071,18,672,904.7.9,6.19,6/18/2015 12:44,22299,28.48677752,0.768106193,8033.753621,0,0.752993408,0,0,0,0,0,0.768016503,-100,20,27.45706646,0,1.645544643,57.25360091,28.94888385,0.703394771,0.657257406,28.42109503,-0.095419261,196.0142018,460.3911311,16.48605274,5.271112262,0,127.4634737,8.000538141,401.7230438,43.91039957,85.24997471,16.26534307,150.5708776,12.0444863,1.004753952,1.005187771,1.005041097,0,0,0.010179829,0,23.62993856,18,50.33714516,0,56.02565137,8441.057805,0.983497018,1.004604894,28.32113548,0.984865689,19.26924974,62.73985381,0.00116526,0,14.57750683,14.57750683,26.41356494,8.12437329,7.84149065,0.131396027,76.72285506,1295.437105,0,25,2.554565431,0.010286476,0,-55,22,-55,460.3807594,0,0,0,126.0129154,258.4741348,17.35950043,0.372004963,-0.157946314
1,0,4071,22,674,904.7.9,6.5,6/25/2015 11:05,23386,28.52821299,0.719362011,6572.498418,0,0.712819636,0,0,0,0,0,0.640468656,-100,20,27.45833426,0,1.429145643,59.3704731,28.9812333,0.466732233,0.46408848,28.4524944,-0.238700272,177.2364284,422.1230058,18.93292064,2.89393698,0,126.9297871,8.013546566,360.0905422,48.27640469,97.01750261,18.65499746,196.2946849,15.70203541,1.011232549,1.011669093,1.011192516,0,0,0.010348071,0,27.66471393,18,54.49572394,0,58.29359446,6889.116565,0.989651929,1.011945071,31.15778671,0.991762593,22.76182331,65.89403917,0.000656559,0,19.00607353,19.00607353,27.24923436,8.566039511,8.243316514,0.581630035,93.83118051,1509.818011,0,25,-2.547481437,-0.005575918,0,-55,22,-55,422.1671715,0,0,0,127.0159497,174.2580926,12.18519627,-0.426299649,-0.070612695
1,0,4071,23,677,904.7.9,6.17,6/26/2015 11:22,22219,28.49983573,0.759890184,7989.549305,0,0.738017012,0,0,0,0,0,0.271344345,-100,20,27.50702435,0,1.690220082,57.59658177,28.96074193,0.737431928,0.675391593,28.43736289,-0.173248671,191.5447274,426.8686462,19.4206358,2.362130314,0,127.579369,7.925685224,361.2744997,44.62050497,93.4524344,19.15758865,178.5048832,14.27925649,1.002784312,1.003127636,1.002882509,0,0,0.027994059,0,25.47072325,18,51.91268734,0,56.35019578,8444.487241,0.967505288,1.003718262,29.34015932,0.984177506,20.15144696,63.63607723,0.000903674,0,19.06265815,19.06265815,26.49072679,8.197524641,7.877159188,0.591385751,94.8344438,1433.090238,0,25,-2.187852376,-0.005081962,0,-55,22,-55,426.9751251,0,0,0,128.0292992,175.8307141,7.032517215,-0.360873392,0.033665781
1,0,4071,28,680,904.7.9,6.55,8/26/2015 12:00,23591,28.50085134,0.224026112,4877.628842,0,0.220041541,0,0,0,0,0,0.223517443,-100,20,27.71847641,0,1.910940613,57.68302124,28.94443851,0.897927176,0.788668526,28.44695893,0.260797644,185.218251,434.1321234,24.34938598,6.026321107,0,127.3438599,7.716883557,380.637044,54.60646009,93.65301335,23.95815405,211.4755627,16.91651901,1.014181466,0.999267685,1.014091289,0,0,0.016277394,0,29.67483362,18,55.18532491,0,56.14925183,5080.74876,0.99067441,1.011287834,32.45479208,0.993197406,24.82819719,68.81323386,-0.000310422,0,24.79363903,24.79363903,26.55252345,8.305252003,8.001136026,0.039082701,88.34751582,1423.140096,0,25,4.884635191,-0.003524828,0,-55,22,-55,434.1852655,0,0,0,127.7795346,249.6521431,8.272497987,0.66524334,0.454723534
1,0,4071,29,682,904.7.9,6.54,8/27/2015 10:59,23557,28.48812137,0.216114106,4821.610986,0,0.182918029,0,0,0,0,0,0.210213525,-100,20,27.45344428,0,1.890563315,57.70982852,28.93208757,1.01116441,0.775311521,28.43342021,-0.338425102,181.9532582,435.6055763,22.35223415,9.336784217,0,127.7589676,7.750095513,386.2388829,55.38689137,91.7454327,21.98162136,202.241372,16.17818907,1.011826121,0.995279073,1.01178005,0,0,0.018083797,0,30.06078873,18,56.16462198,0,56.17234792,5025.291166,0.988920491,1.012384673,32.79950758,0.991192427,24.80005943,69.75340663,0.00043115,0,22.59729804,22.59729804,25.45001994,8.47469542,8.191662775,0.069321221,81.11643844,1395.18572,0,25,4.246236364,-0.000430974,0,-55,22,-55,435.5855354,0,0,0,128.36677,233.637804,6.383049624,0.637183278,0.863630719
1,0,4071,87,688,904.7.9,5.78,9/3/2015 11:50,20820,28.49960658,0.664601345,7401.661479,0,0.624207493,0,0,0,0,0,0.664361191,-100,20,27.61389025,0,1.164505283,56.92403164,28.9587134,0.560182517,0.539922032,28.40937219,-0.219435182,190.2838426,426.3887347,21.28205907,3.597074803,0,127.3975985,8.026522574,358.365635,46.20730067,94.69025351,20.96883358,194.0024015,15.51923151,1.002674129,1.002811277,1.003642435,0,0,0.02660903,0,20.6048511,18,45.46503362,0,56.32382325,7659.34928,0.986935639,1.002911188,24.16210375,0.98321806,14.92526417,60.50360231,0.000590001,0,21.03413486,21.03413486,24.85030314,7.353919308,7.056820365,0.348847262,94.59495548,1466.653506,0,25,0.229236048,0.006376342,0,-55,22,-55,426.4014843,0,0,0,126.3051393,190.5148982,18.48758405,0.011493603,-0.069919074
